Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Pneumocystosis,both,common,Weight loss,Exercise intolerance,Dyspnea,Coughing,Vomiting,Cachexia,,,,,,,,,
Hypoxemia,both,common,Shortness of breath,Gagging or gasping,Difficult and rapid breathing,Coughing,Blue or purple tint to the skin,Fast heart rate,Pain when breathing,Frothy discharge from nose and mouth,Weakness,Refusing to exercise or walk,Weight loss,Fainting,Collapse,Seizure,Death
Pulmonary Edema- Noncardiogenic,both,common,Predisposing causes airway obstruction,electric cord bite,Seizures,head Trauma,near drowning,smoke exposure,adverse drug effects,Acute onset of dyspnea,Mild to severe dyspnea,Increased respiratory rate and effort,open-mouthed breathing,Postural adaptations to Respiratory distress,Unwillingness to lie down,cyanotic mucous membranes,noise breathing
Pneumonia- Bacterial,male,common,Coughing,Labored breathing,Exercise intolerance,Weight loss,Lethargy,Nasal discharge,Fever,Difficult or rapid breathing,Abnormal breath sounds,crackles and wheezes,Weight loss,Nasal discharge,Lethargy,Dehydration,
Esophagitis,both,common,Pain in the neck or throat,Coughing,Difficulty swallowing,Increasing attempts to swallow,Signs of pain while swallowing food,Drooling,Vomiting,Loss of Appetite,Weight loss,Abnormal posture or movements,Refusing to lie down,Fever,,,
Lens Luxation ,both,five,Lens instability and subluxation,fibrils of liquefied vitreous,abnormally shallow or deep anterior chamberm,abnormal iris curvature,phacodenesis,iridonesis,aphakic crescent,Lens luxation,anterior,posterior,Can have same signs as lens subluxation,chronically painful eye,,,
Aspergillosis - Systemic ,both,five,fever,Lameness,swelling,Neurologic,fungal discospondylitis causing paraparesis,paraplegia,spinal pain,Seizures,hemiparesismental dullness,ataxia,vision impairment,circling,polyuria,Hematuria,Coughing
Gastritis-Chronic,both,common,Abdominal pain,indigestion,Bloating,Nausea,Vomiting,Belching,Loss of Appetite,Weight loss,Diarrhea,,,,,,
Gastroenteritis Lymphocytic-Plasmacytic,both,five,Diarrhea,Vomiting,Appetite loss,Weight loss,Black stool,Bloody,Coughing,Lethargy,Swelling of the abdomen,Breathing trouble,Fluid retention,,,,
Dermatoses Viral,both,common,runny eyes,fever,snotty nose,Coughing,Vomiting,Diarrhea,Seizures,paralysis,,,,,,,
Entropion,both,five,Squinting,Excessive tearing,Eye discharge,Apparent swelling around eyes,Rubbing at eyes,Eye redness,Conjunctivitis,Excessive blinking,blepharospasms,Corneal ulcers,,,,,
Glycogen Storage Disease,both,common,Weakness,Chronic,Collapse,Lethargy,Enlarged liver,Lack of appetite,,,,,,,,,
Pythiosis,male,five,weight loss,Diarrhea,Regurgitation,nodules that ulcerate and drain,GI Pythiosis,Emaciation,An abdominal mass is often palpable,weight loss,Abdominal pain,infarction or perforation,Cutaneous Pythiosis,Cutaneous,boggy,edematous regions,weight loss
Cataracts ,both,common,White eye,Vision loss,Cataracts that have a rapid,bilateral onset,Polyuria,,,,,,,,,,
Sepsis and Bacteremia,both,common,Vomiting,Diarrhea,Lack of appetite,Lethargy,Fever,Shaking,Chills,Pale gums,Rapid pulse,Panting,Low blood glucose,Disorientation,,,
Shock-Cardiogenic,both,common,Rapid breathing,Severe shortness of breath,Sudden and rapid heartbeat,Loss of consciousness,Weak pulse,Low blood pressure,Sweating,Pale skin,Cold hands or feet,Urinating less,,,,,
Osteochondrosis,male,five,Lameness,joint effusion,reduced range of motion in affected joints,include the head of the humerus,the medial aspect of the humeral condyle,the femoral condyles,the trochlear ridges of the talus,,,,,,,,
Idioventricular Rhythm,both,common,Some animals Asymptomatic,Weakness,Lethargy,Exercise intolerance,Syncope,Heart failure,,,,,,,,,
Demodicosis,both,common,Hair loss in patches,Rubbing their face or head,Redness or inflammation of the skin,Excessive oil on the skin,Crusting on the skin,Paws that are swelling,,,,,,,,,
Squamous Cell Carcinoma-Lung,both,fifteen,Coughing,Sneezing,Difficulty breathing,Weight loss,extra tissue growth in legs,Weakness,Blood in urine or stool,Coughing,Not exercising,,,,,,
Fipronil Toxicosis,both,five,Twitching,Nodding,Aggression,Sweating,Nausea,Lack of appetite,Vomiting,Headache,Abdominal pain,Dizziness,Agitation,Weakness,,,
Spider Venom Toxicosis?Brown Recluse,both,common,pain,itchy,Skin lesion with a bulls eye effect,Swelling,Blister,Bruised,inflamed area spreading,Necrotic tissue around the bite,wound after the damaged tissue,Scab that may take months to heal,Thirst,Fever,Vomiting,Nausea,Anemia
HemangiosarComa-Heart,male,ten,Fainting,Weakness,Lethargy,Lack of appetite,Vomiting,Coughing,Collapse,,,,,,,,
Dermatoses-Papulonodular,both,common,Hair loss,Reddened skin,Lesions,Small solid masses of the skin,Lesions,Itchiness,Skin lesions,,,,,,,,
Nasal discharge ,both,common,Sneezing,Reverse Sneezing,Unilaterally,Stertor,noisy breathing especially when animal is sleeping,Response to previous antibiotic therapy,Secretions or dried,Concurrent dental,nasopharyngeal or lower airway disease,fourth premolar abscess,swelling,Depigmentation,Mandibular lymphadenomegaly neoplasia,fungal infection,Sneezing
Enamel Hypoplasia,both,five,Digestive problems,Fever,Infection,Morbillivirus species infections,Nutritional deficiencies,One or more discolored teeth,Parasites,,,,,,,,
Chediak-Higashi Syndrome ,both,common,Red fundic reflex,lack of choroidal pigment,yellow-green irises,epiphora in bright light,,,,,,,,,,,
Nephrolithiasis ,both,common,None or Hematuria,Vomiting,Dysuria,renal failure,lower urinary tract,Vomiting,,,,,,,,,
False Pregnancy,female,common,Swollen,painful muzzle,Swelling in wrists and lips which may feel hot,Reluctance to move,Pain in the abdomen,Vomiting,Diarrhea,Shallow breathing,obvious discomfort,Increased thirst,Frequent urination,Vomiting,Halitosis,Bad breath,Loss of Appetite
Atrial Premature Complexes,both,common,CHF,Coughing,Exercise intolerance,Syncope,Irregular heart rhythm,Cardiac murmur,Gallop rhythm,Signs of CHF,,,,,,,
Iron Toxicosis,both,common,Vomiting,Pain and swelling in the abdomen,Loss of Appetite,Weight loss,Agitation,Fast heartbeat,Low blood pressure,Extreme tiredness,Shock,Seizure,Depression,Fever,Jaundice,Diarrhea,Muscle Tremors
Aortic Stenosis,both,five,Arrhythmias may be ausculted,Pulse deficits,Weak pulses,Tachypnea,Respiratory distress,Systolic left basilar ejection murmur,,,,,,,,,
Diabetic Hepatopathy,male,ten,Weight loss,Thirst,Lethargy,yellowish tone most visible in the eyes,Depression,Hypersalivation,Vomiting,Diarrhea,Lesions,,,,,,
Ileus,both,five,Struggling to have a bowel,Reluctant to have a bowel movement,Constipation,Thin ribbon like stool,Absence of intestinal noise,Vomiting,Abdominal pain,Abdominal distention,Weight loss,Lack of appetite,Palpable lump,,,,
Compulsive Disorders ,male,common,behaviors may be repetitive or static,freezing,anxiety or concurrent behavioral diagnoses,separation anxiety,fears,Aggression,history of stress,situations of high arousal or stress,identifiable triggers,Certain repetitive behaviors are expressed,Behavior may interfere with normal functioning,,,,
Proteinuria,both,common,severity of proteinuria,glomerular proteinuria,Weight loss,acute dyspnea,pollakiuria,Abdominal distention,May have oral Ulceration,edema or cavitary effusion or changes in pulse quality,,,,,,,
Digoxin Toxicity,both,common,Depression,Lack of appetite,Vomiting,Diarrhea,Lethargy,,,,,,,,,,
Squamous Cell Carcinoma-Lung,both,fifteen,Coughing,Sneezing,Difficulty breathing,Weight loss,extra tissue growth in legs,Weakness,Blood in urine or stool,Coughing,Not exercising,,,,,,
Strongyloidiasis,both,common,Diarrhea,Diarrhea,Weight loss,Reduced growth in puppies,Pneumonia in puppies,Weakness,Lack of appetite,Intestinal inflammation,Fever,Shallow rapid breathing,,,,,
Ethanol Toxicosis,both,common,Lethargy,Sedation,Depression,Ataxia,Vomiting,Diarrhea,Disorientation,Depression,Vocalization,Coma,Seizures,,,,
Diaphragmatic Hernia,both,common,Breathing difficulties,Rapid or shallow breathing,Vomiting,Severe respiratory difficulty,Muffled lung sounds,Muffled heart sounds,Abnormal heart rhythm,Shock,Abdomen that feels empty,Weight loss,,,,,
Pheochromocytoma,both,common,Weakness,Anorexia,Vomiting,Weight loss,Panting,dyspnea,Diarrhea,Whining,Pacing,Ascites,edema,Shakes or shivers,Epistaxis,Adypsia,Lethargy
Carbon Monoxide Toxicosis ,both,ten,Drowsiness,Weakness,Red lips and ears and gums,Incoordination,Difficulty breathing,Exercise intolerance,Nausea,Vomiting,Collapse,,,,,,
Acral Lick Dermatitis,both,common,Excessive licking of the affected area,Lesions,Firm,,,,,,,,,,,,
Ovulatory Failure,female,ten,Difficulty getting pregnant,Hot flashes,Night sweats,Vaginal dryness,Dry eyes,Irritability or difficulty concentrating,Decreased sexual desire,,,,,,,,
Atrioventricular Block - Second Degree?Mobitz II,both,ten,Extreme sleepiness or tiredness,Disoriented,Eating less than normal,Weight loss,Diarrhea,Vomiting,Fainting,Collapse,,,,,,,
Urinary Retention - Functional ,both,common,abnormalities of voiding dysfunction,Frequent attempts to urinate,straining to urinate or not voiding,Attenuated,interrupted or prolonged urine stream,Urinary leakage,Vomiting,Lethargy,Painful abdomen,,,,,,
Cryptorchidism ,both,common,Bilaterally cryptorchid animals are infertile,Unilaterally cryptorchid,Rarely associated with pain or other signs of disease,Abdominal pain,spermatic cord,Feminizing paraneoplastic syndrome,gyneComastia,Alopecia,hyperpigmentation of inguinal skin,pendulous preputial sheath,prostatic squamous metaplasia,,,,
Atrioventricular Valve (Myxomatous) Disease ,male,ten,Systolic click,Systolic murmur best heard over,loud holosystolic,louder and radiates more widely,echocardiographic changes,loud heart murmur,Tachycardia,Arrhythmia and pulse deficit,Weak femoral pulse,prolonged capillary refill,,,,,
Paraneoplastic Syndromes,both,common,muscle pain,Alopecia,Anemia,Cachexia,Cutaneous flushing,Diencephalic syndrome,Disseminated,intravascular coagulation,Eosinophilia,Gastroduodenal Ulceration,Hypercalcemia,Hypertrophic osteopathy,Hypoglycemia,Myelofibrosis,Bleeding
Panosteitis,male,five,No associated Trauma,Lameness,varying intensity,usually involves the forelimbs initially,may affect the hind limbs,Lameness,may be non-weight-bearing,Depression,inappetence,Weight loss,Pain on deep palpation,distinguishing characteristic,pinching of nearby muscle,,may affect radius
Adenocarcinoma - Nasal,both,ten,Sneezing,Anorexia,Seizures,Nasal discharge,Facial deformity,Pain in the nose,Obstructive masses in the animal's nose,,,,,,,,
Alkalosis - Metabolic disease,both,common,Administration of loop diuretics,accompanying potassium depletion,Muscle twitching,Dehydration in volume-depleted patients,Muscle twitching,,,,,,,,,,
Encephalitis Secondary to Parasitic Migration,both,five,Depression,Staggering,Walking around in circles,Head tilting,Head pressing,Loss of muscle movement in the face,Dizziness,Weakness,,,,,,,
Pythiosis,male,five,weight loss,Diarrhea,Regurgitation,nodules that ulcerate and drain,GI Pythiosis,Emaciation,An abdominal mass is often palpable,weight loss,Abdominal pain,infarction or perforation,Cutaneous Pythiosis,Cutaneous,boggy,edematous regions,weight loss
Aspergillosis - Systemic ,both,five,fever,Lameness,swelling,Neurologic,fungal discospondylitis causing paraparesis,paraplegia,spinal pain,Seizures,hemiparesismental dullness,ataxia,vision impairment,circling,polyuria,Hematuria,Coughing
Urinary Retention - Functional ,both,common,abnormalities of voiding dysfunction,Frequent attempts to urinate,straining to urinate or not voiding,Attenuated,interrupted or prolonged urine stream,Urinary leakage,Vomiting,Lethargy,Painful abdomen,,,,,,
Adenocarcinoma - Lung,both,ten,Difficulty breathing,Rapid breathing,Extreme tiredness,Weakness,Loss of Appetite,Weight loss,Vomiting,Bloody,Fever,Muscle pain and Weakness,,,,,
Neutropenia ,both,common,Lethargy,Weakness,febrile but normothermia does not rule out infection,Tachycardia,injected mucous membranes,weak pulses,Gray collies,fever,Diarrhea,Gingivitis,respiratory infection,lymphadenitis,A dog with heat stroke,Bleeding,fever
Narcolepsy and Cataplexy ,both,common,Fragmented sleep,loss of consciousness,Narcolepsy eye movements,muscular twitching,usually aroused by loud noises,petting or other external stimuli,,,,,,,,,
Narcolepsy and Cataplexy ,both,common,Fragmented sleep,loss of consciousness,Narcolepsy eye movements,muscular twitching,usually aroused by loud noises,petting or other external stimuli,,,,,,,,,
Lower Urinary Tract Infection - Bacterial ,female,common,Pollakiuria,Dysuria,Hematuria,Stranguria,urgent need to urinate,urinating in inappropriate locations,Anorexia,Bladder wall thickening or crepitus,Stimulation of micturition,regardless of bladder urine volume,Pain reactions,,,,
Panting and Tachypnea,both,common,Coughing,hyperadrenocorticism,intermittent,Brachycephalic syndrome may be observed,Stridor,Lower airway disease,Coughing,expiratory wheezes on auscultation,abdominal effort,crackles on auscultation,harsh or moist lung sounds,Cardiogenic pulmonary edema,heart murmur or arrhythmia,Tachycardia,gallop sound
Protein-Losing Enteropathy,both,common,Diarrhea,weight loss,dogs with PLE have normal stools.,weight gain,Ascites,dependent edema,Abdominal palpation may reveal thickened bowel loops,,,,,,,,
Vaginal Hyperplasia and Prolapse ,both,five,Onset of proestrus or estrus,parturition,Licking of vulvar area,Failure to allow copulation,Dysuria,Previous occurrence,Protrusion of round,tongue-shaped or donut-shaped tissue mass,Vaginal examination ocate lumen and urethral orifice,Tissue may be dry or necrotic.,,,,,
Enamel Hypoplasia,both,five,Digestive problems,Fever,Infection,Morbillivirus species infections,Nutritional deficiencies,One or more discolored teeth,Parasites,,,,,,,,
Neutropenia ,both,common,Lethargy,Weakness,febrile but normothermia does not rule out infection,Tachycardia,injected mucous membranes,weak pulses,Gray collies,fever,Diarrhea,Gingivitis,respiratory infection,lymphadenitis,A dog with heat stroke,Bleeding,fever
Ventricular Premature Complexes ,both,common,Weakness,Exercise intolerance,Syncope,Often Asymptomatic,Irregular rhythm associated with pulse deficits,may auscult splitting of the first or second heart sound,murmur depending,,,,,,,,
Colitis and Proctitis ,both,common,Fecal consistency,small fecal volume,Tenesmus,Increased fecal mucus,Occasional dyschezia,Vomiting,Weight loss,colonic lymphoma,histoplasmosis,pythiosis,,,,,
Inflammatory Bowel Disease,both,five,Diarrhea,Weight loss,Fatigue,Depression,Vomiting,Gas,Abdominal pain,Rumbling and gurgling abdominal sounds,Bright red blood in stool,Distressed coat hair,,,,,
Dermatoses-Neoplastic,both,ten,Abdominal swelling,Bleeding from the mouth or nose,Difficulty breathing,Difficulty eating,Lumps,discolored skin,Non-healing wounds,Vomiting,Sudden changes in weight,Unexplained swelling,Lameness,Visible mass,,,
ChondrosarComa - Larynx and Trachea ,both,common,Voice change,breathing,Coughing,Exercise intolerance,Severe Respiratory distress,Cyanosis,Collapse,Dysphagia,,,,,,,
Hepatotoxins,both,common,Vomiting,Diarrhea,Weakness,Coma in severe cases,Lesions-red or purple spots on the skin,Hemorrhage,yellowing of the skin or whites of the eyes,Dehydration,Increased urination and thirst,Stomach Bloating,Seizures,Sudden fainting,,,
Myopathy - Focal Inflammatory ,both,common,Masticatory,Chronic,inability to pick up a ball or get food into the mouth,acutely Swollen muscles,progressive Muscle atrophy,Extraocular Bilateral exophthalmos,marked jaw pain with manipulation and trismus,acute muscle swelling with exophthalmos,Muscle atrophy with enophthalmos,anesthesia,Bilateral exophthalmos,,,,
Hepatic Amyloid,both,common,Fever,Swollen hocks,Joint inflammation,Joint pain,Lack of energy,Loss of Appetite,Abdominal discomfort,Swelling,Buildup of abdominal fluid,Vomiting,Excessive thirst,Excessive urination,,,
Incontinence-Fecal,both,common,Diarrhea,Defecating while walking or sleeping,Dragging hind end on the rug or floor,Bloating,Gas,Loss of muscle tone in the anal area,Aggravation,Inability to wag tail,,,,,,,
Seminoma,both,fifteen,Blood in the peritoneal cavity,Blood in the urine,Enlarged scrotum,Infertility,Spermatic cord torsion,Swelling of either or both testicles,Unexplained growth,Hair loss or poor regrowth,Brittle hair,Thinning of the skin,Darkening of the skin,Penile atrophy,Testicular atrophy,Changes in prostate size,Mammary enlargement
Melanocytic Tumors - Skin and Digit ,both,common,Skin mass with variable growth rates,Solitary,Lameness,Lymph node,diffuse pulmonary metastasis,,,,,,,,,,
Hepatocellular Adenoma,both,fifteen,Vomiting,Frequent bowel movements,Increased thirst,Increased urination,Low appetite,Weakness,Lethargy,Abdominal swelling,Jaundice,Weight loss,,,,,
Roundworms,both,common,Potbelly,Weakness,Diarrhea,Vomiting,Belly pain,Dull coat,Weight loss,Malnourishment,,,,,,,
Cholelithiasis ,both,common,May be Asymptomatic,causing intermittent,Vomiting,meal-related discomfort,Abdominal pain,fever,Jaundice,Episodic vague peri- or postprandial,Abdominal pain,,,,,,
Lens Luxation ,both,five,Lens instability and subluxation,fibrils of liquefied vitreous,abnormally shallow or deep anterior chamberm,abnormal iris curvature,phacodenesis,iridonesis,aphakic crescent,Lens luxation,anterior,posterior,Can have same signs as lens subluxation,chronically painful eye,,,
Alkalosis - Metabolic disease,both,common,Administration of loop diuretics,accompanying potassium depletion,Muscle twitching,Dehydration in volume-depleted patients,Muscle twitching,,,,,,,,,,
Diabetes Mellitus with Ketoacidosis,female,common,excessive thirst,increased urination,Lethargy,Weakness,Vomiting,increased respiratory rate,Decreased appetite,Weight loss,Dehydration,unkempt haircoat,Dandruf,Dehydration,,,
Myoclonus ,both,common,bout of gastrointestinal,Coughing,persists at rest and even during sleep or light anesthesia,consistent frequency in a given patient,distemper diagnosis,Chronic,Familial reflex myoclonus observed,limbs and neck and head,patient unable to rise without assistance,With spongy degeneration,,,,,
Hepatitis-Chronic,both,ten,Lethargy,Weight loss,Vomiting,Lack of appetite,Jaundice,,,,,,,,,,
Drowning,both,five,Labored or open-mouthed breathing,Apnea,Irregular breathing,Posture changes,Weak pulse,Loss of consciousness,Hypothermia,Cyanosis,changes in the color of mucous membranes,Pulmonary edema,fluid in the lungs,Acidosis,Coughing,Vomiting,
Breeding - Timing,male,common,color during estrus,vulvar edema of proestrus decreases,receptive to male during estrus,ulva less turgid,Vaginal discharge-less color and amount,Flagging,Fully cornified and crenulated,pale vaginal epithelium,,,,,,,
Shock-Hypovolemic,both,common,Weakness,Cool feet,Poor pulse,Very low blood pressure,Lethargy,Hyperventilation,Respiratory failure,Hemorrhage,,,,,,,
Glomerulonephritis,both,ten,Blood in urine,Loss of Appetite,Increased thirst,Excessive urination,Vomiting,Lethargy,Loss of weight,Renal failure,,,,,,,
Lupus Erythematosus - Cutaneous,both,common,Depigmentation,Ulcerations,Loss of normal cobblestone architecture of the nasal planum,Tissue loss and scarring can occur,Chronic,rarely severe Hemorrhage from arteriole damage,May also involve pinnae and periocular region,rarely feet and genitalia,,,,,,,
Panniculitis,both,common,multiple subcutaneous nodules,Firm,Nodules few millimeters to several centimeters in diameter,Involved fat may necrose,Exudate usually a small amount of oily discharge,Bloody,Lesions,Anorexia,Pyrexia,Lethargy,depression,,,,
Hyperviscosity Syndrome,both,common,Loss of Appetite,Lethargy,Depression,Excessive urination and excessive thirst,Blindness,unsteadiness,Bleeding tendencies,Seizures,Rapid heartbeat,Nosebleed,optic swelling,,,,
Uveodermatologic Syndrome ,both,five,precede dermatologic,Sudden onset Uveitis,Secondary changes include glauComa,Cataracts,Blindness,nose and lips and eyelids,Depigmented nasal planum,striking leukotrichia,Neurologic symptoms,,,,,,
Dyschezia and Hematochezia,both,common,Vomiting,Dilated pupils,Low or absent anal tone,Diarrhea,Straining,Difficulty urinating or defecating,Distended bladder,Decreased tear production,Protrusion of third eyelid,,,,,,
"ChondrosarComa, Bone ",both,common,visible mass at the affected site,Lameness,visible body wall anomaly,Fever,,,,,,,,,,,
Hyperchloremia,both,common,Gastrointestinal irritation,Lack of appetite,Weight loss,Lethargy,Persistent Hyperventilation,Excessive thirst,Coma,Seizures,,,,,,,
Aortic Stenosis,both,five,Arrhythmias may be ausculted,Pulse deficits,Weak pulses,Tachypnea,Respiratory distress,Systolic left basilar ejection murmur,,,,,,,,,
Hepatic Failure- Acute,both,common,Vomiting,Excessive thirst,Frequent urination,Diarrhea,Jaundice,Gastrointestinal Bleeding,Ulcers,Ascites,Disorientation or aimless wandering,Aggression,Drooling,Poor coordination,Blindness,Seizures,Coma
Peritoneopericardial Diaphragmatic Hernia,both,common,Vomiting,Diarrhea,Weight loss,Abdominal pain,Coughing,Dyspnea,Muffled heart sounds,Displaced or attenuated apical cardiac impulse,cranial abdominal hernia,Cardiac tamponade,,,,,
Tracheal Perforation,both,common,Pockets of palpable air under the skin,Shortness of breath,Difficulty breathing,external Trauma,Malaise,Vomiting,Anorexia,Gagging,Unusual salivation,Coughing,Shock,,,,
Hepatitis-Suppurative and Hepatic Abscess,both,common,Appetite loss,Vomiting,Diarrhea,Dark urine,Weight loss,Lethargy,Increased urination,Increased thirst,Abdominal pain,Yellowish discoloration of the skin,Distended abdomen,Fever,Skin disorders,Mouth ulcers,Lesion in the nose
Salmonellosis,female,common,Nausea,Abdominal pain,Fever,Diarrhea,Vomiting,Lethargy,Dehydration,Loss of Appetite,Depression,Decreased activity,,,,,
Congestive Heart Failure Left-Sided ,both,common,Weakness,Lethargy,Exercise intolerance,Coughing,relieved by assuming a standing,sternal,,,,,,,,,
Pediatric Behavior Problems and trainning ,male,five,PlayBiting,The pet bites hands or legs and clothing,Bites are usually inhibited,Growling,spontaneous,Getting on Counters or Furniture,The pet gets on furniture and counters,furniture during play to get attention or to rest,,,,,,,
Protothecosis,female,common,diarrhea,Weight loss,Acute onset Blindness,Neurologic disease,deafnes,Seizures,ataxia,Lesions,Gastrointestinal,ocular or neurologic,Weight loss,Hemorrhagic colitis,Vomiting,Anorexia,Blindness
Myopathy - Noninflammatory - Hereditary Muscular Dystrophy ,both,common,Exercise intolerance,stilted gait,bunny-hopping pelvic limb gait,plantigrade stance,partial trismus,Muscle atrophy,hypertrophy of some muscles especially the tongue,kyphosis,Lordosis,Drooling,dysphagia,aspiration pneumonia,Vomiting,Stunting,Coughing
Thrombocytopenia,both,common,Excessive bruising,Severe or prolonged blood loss,Fever,Lethargy,Heart murmur,Urinary Bleeding,Coughing,Excessive nasal mucus,Sudden collapse,,,,,,
Myopathy - Noninflammatory - Hereditary Labrador Retriever,both,common,Weakness,bunny-hopping pelvic limb gait,ventroflexion of the head and neck,Worsen with exercise,Collapse,Some improvement with rest.,Generalized Muscle atrophy mild to severe,Atrophy of proximal limb,Tendon reflexes,,,,,,
Esophageal Diverticula,both,common,Retching,Gagging,Hypersalivation,Vomiting,Difficulty breathing,Unable to finish eating,Weight loss,Coughing,,,,,,,
Narcolepsy and Cataplexy ,both,common,Fragmented sleep,loss of consciousness,Narcolepsy eye movements,muscular twitching,usually aroused by loud noises,petting or other external stimuli,,,,,,,,,
Hypertrophic Pyloric Gastropathy-Chronic,both,fifteen,Vomiting,Vomiting,Vomiting,Regurgitation,Failure to gain weight,Weight loss,Thirst,Aspiration pneumonia,,,,,,,
Odontoma ,both,common,oral swelling,ocular symtoms,missing teeth,a reluctance to eat,Vomiting,drooling,,,,,,,,,
HemangiosarComa-Spleen and Liver,male,fifteen,Weight loss,Weakness,Lameness,Collapse,Muscle Incoordination,Partial loss of muscle control,Seizures,Dementia,Confusion,internal Bleeding,Acute blood loss,Palpable or visible abdominal mass,Rapid heartbeat,Abdominal swelling,Excessive bruising
Lily Toxicosis,both,common,Vomiting,Depression,Vomiting,both persist throughout the syndrome,Polyuria and Dehydration,leads to anuric renal failure,Weakness,Recumbency by 2 to 4 days,,,,,,,
Salmonellosis,female,common,Nausea,Abdominal pain,Fever,Diarrhea,Vomiting,Lethargy,Dehydration,Loss of Appetite,Depression,Decreased activity,,,,,
Food Reactions-Dermatologic,both,ten,Vomiting,Diarrhea,Dermatologic,Itchiness,Poor skin,Chronic,Foot infections,Erythema,,,,,,,
Pulmonic Stenosis,both,common,Abdominal distension,Dyspnea,Exertional Syncope,Exercise intolerance,Asymptomatic,Systolic murmur loudest over the left heart base,may radiate widely but particularly dorsally on left,Murmur midsystolic,Louder murmurs,Arrhythmias may occur,CHF,Ascites,jugular venous distension and tachypnea,,
Entropion,both,five,Squinting,Excessive tearing,Eye discharge,Apparent swelling around eyes,Rubbing at eyes,Eye redness,Conjunctivitis,Excessive blinking,blepharospasms,Corneal ulcers,,,,,
"Oral Cavity Tumors, Undifferentiated Malignant Tumors",both,five,Excessive salivation,Halitosis,Dysphagia- dysorexia,Bloody,Weight loss,Oral mass,Loose teeth,Facial deformity,exophthalmia,,,,,,
Canine Coronavirus Infections ,both,common,Vary greatly,Rarely virulent isolates,most infections inapparent,occasionally fatal enteritis,Vomiting,,,,,,,,,,
Mycoplasmosis ,both,common,Polyarthritis,Lameness,Reluctance to move,Joint pain,Fever,Malaise,Unilateral,Polyarthritis,diffuse limb edema,Joint swelling,pain,Blepharospasm,Chemosis,Conjunctival hyperemia,red eye
Carnitine Deficiency ,both,common,carnitine deficiency can be diverse,produce energy from fatty acids,muscle pain,Weakness,Exercise intolerance,Lethargy,,,,,,,,,
Sinus Bradycardia,female,common,Lethargy,Getting too exhausted during exercise,Slow breathing,Loss of muscle coordination,Seizures,Fainting,,,,,,,,,
West Nile Virus Infection ,both,common,Incoordination,Incubation,Febrile response,Post-infection,In the rarely affected dogs,common signs are ataxia,Depression,Anorexia,Tremors,conscious proprioceptive deficits,Seizures,Weakness,flaccid paralysis,,
Pneumonia-Aspiration,both,common,Peracute,Chronic,Coughing,tachypnea,Exercise intolerance,Cyanosis,Regurgitation,Vomiting,dysphagia,altered consciousness,stertor or stridor,,,,
Congenital and Developmental Renal Diseases ,both,common,Chronic,Abdominal distension,edema,nephrotic syndrome,Abdominal distension,Abdominal pain,Unilateral,frequently Asymptomatic,,,,,,,
Tracheal Perforation,both,common,Pockets of palpable air under the skin,Shortness of breath,Difficulty breathing,external Trauma,Malaise,Vomiting,Anorexia,Gagging,Unusual salivation,Coughing,Shock,,,,
Digoxin Toxicity,both,common,Depression,Lack of appetite,Vomiting,Diarrhea,Lethargy,,,,,,,,,,
Anemia - Heinz Body,both,common,occasionally icteric mucous membranes,Dark-colored blood,Tachypnea,Tachycardia,Exposure to oxidant,Weakness,Lethargy,Anorexia,Reddish-brown urine,,,,,,
Myeloproliferative Disorders ,both,common,Pale mucous membranes,Lethargy,Inappetance,Weight loss,HepatoSplenomegaly,ataxia,seizure,,,,,,,,
Urolithiasis - Cystine ,female,common,number of uroliths,May be Asymptomatic,Pollakiuria,Dysuria and Hematuria,Pollakiuria,voiding of small smooth uroliths,Complete outflow obstruction,Nephroliths typically Asymptomatic,hydronephrosis and renal insufficiency,,,,,,
Prostatic Cysts,male,common,Asymptomatic,Lethargy,Abdominal distention,Tenesmus,Dysuria if the cyst compresses the urethra,Sanguineous urethral discharge in the presence of BPH,,,,,,,,,
Pulmonary Thromboembolism,both,common,Often reflect the primary disease process,fever,peracute dyspnea,Anorexia,Syncope,Collapse,Coughing,,,,,,,,
Acne,both,common,Mouth pain,erythematous Papules,Lesions,Not eating,Lesions,Lesions,most are non-painful and non-pruritic,Chronic,,,,,,,
Leishmaniasis,both,common,Exercise intolerance,Weight loss,Anorexia,Diarrhea,Vomiting,epistaxis,Melena,Lesions,emaciation,neuralgia,Polyarthritis,polymyositisn,Lesions,fever,Fever
Arteriovenous Fistula and Arteriovenous Malformation,both,common,non-painful swelling at the body,fever,Coughing,dyspnea,tachypnea,Exercise intolerance,Bounding pulses,Continuous murmur,Cautious compression,,,,,,
Atlantoaxial Instability,both,common,progressive ambulatory tetraparesis,Neck Pain,Neurologic signs,tetraplegia depending,Weakness,increased muscle tone,,,,,,,,,
Gastroenteritis Lymphocytic-Plasmacytic,both,five,Diarrhea,Vomiting,Appetite loss,Weight loss,Black stool,Bloody,Coughing,Lethargy,Swelling of the abdomen,Breathing trouble,Fluid retention,,,,
Hyperestrogenism,both,common,Lethargy,Pale gums,Blood in urine and stool,Blood in vomit,Fever,Infections,Thinning hair,Hair loss,males exhiBiting female characteristics,Infertility,Prolonged estrus in females,Enlarge vulva and teats in female,Bleeding from vulva,attraction to opposite gender,attraction to opposite gender
